date1,avgDailyReturn,AAPL,GOOG,BLK,MSFT,TSLA
2016-11-02,-0.6859999999999999,0.17,-1.22,-0.66,-0.65,-1.07
2016-11-01,-1.258,-1.74,0.09,-0.7,-0.28,-3.66
2016-10-31,-0.8580000000000002,-0.1,-1.37,-0.07,-0.4,-2.35
2016-10-28,-0.9100000000000001,-0.13,-1.61,-0.6,-0.23,-1.98
2016-10-27,-1.242,-0.79,-0.71,-0.4,-0.84,-3.47
2016-10-26,0.10600000000000001,1.12,-0.9,-0.01,-0.3,0.62
2016-10-25,-0.21200000000000002,0.25,-1.1,-0.16,0.23,-0.28
2016-10-24,0.47400000000000003,0.47,1.02,-1.77,1.77,0.88
2016-10-21,0.024,-0.18,0.55,0.03,-1.03,0.75
2016-10-20,-0.7040000000000001,0.17,-0.79,-0.98,-0.43,-1.49
2016-10-19,0.22199999999999998,-0.11,0.34,-1.13,0.1,1.91
2016-10-18,0.49399999999999994,-0.6,0.94,0.31,0.23,1.59
2016-10-17,-0.366,0.19,0.02,-0.23,-0.24,-1.57
2016-10-14,-0.42399999999999993,-0.21,-0.4,0.03,0.53,-2.07
2016-10-13,0.054000000000000006,0.16,-0.39,0.24,0.39,-0.13
2016-10-12,0.036,-0.01,0.3,-0.39,0.0,0.28
2016-10-11,-1.048,-1.19,-0.46,-1.51,-1.21,-0.87
2016-10-10,0.32799999999999996,0.9,1.06,-0.34,0.22,-0.2
2016-10-07,-0.604,-0.22,-0.59,0.06,-0.09,-2.18
2016-10-06,-0.244,0.17,-0.27,-0.4,0.0,-0.72
2016-10-05,-0.33399999999999996,-0.31,-0.36,0.17,0.61,-1.78
2016-10-04,-0.41600000000000004,-0.05,0.05,-1.24,-0.05,-0.79
2016-10-03,-0.030000000000000006,-0.17,-0.22,-0.45,0.03,0.66
2016-09-30,0.458,0.52,0.12,0.7,0.05,0.9
2016-09-29,-1.1099999999999999,-0.87,-0.82,-0.77,-0.71,-2.38
2016-09-28,-0.041999999999999996,0.23,0.48,-0.58,0.26,-0.6
2016-09-27,0.358,0.08,0.97,0.78,1.79,-1.83
2016-09-26,0.05600000000000001,1.11,-1.09,-0.63,-0.32,1.21
2016-09-23,-0.6459999999999999,-1.49,0.04,-1.73,-0.76,0.71
2016-09-22,0.21000000000000005,0.24,0.92,0.05,-0.17,0.01
2016-09-21,0.16199999999999998,-0.26,0.46,0.74,0.43,-0.56
2016-09-20,-0.576,0.46,0.31,-1.64,-0.94,-1.07
2016-09-19,-0.6859999999999999,-1.4,-0.87,-0.25,-0.59,-0.32
